"","GC=F.Open","GC=F.High","GC=F.Low","GC=F.Close","GC=F.Volume","GC=F.Adjusted"
"224",1077.40002441406,1082.40002441406,1077.40002441406,1078,10,1078
"225",1082.90002441406,1082.90002441406,1076.40002441406,1076.40002441406,5,1076.40002441406
"226",1070,1071.5,1066.80004882812,1066.80004882812,57,1066.80004882812
"227",1073.19995117188,1079.40002441406,1073.19995117188,1074.30004882812,222,1074.30004882812
"228",1070.19995117188,1072,1068.5,1070.5,148662,1070.5
"229",1070.69995117188,1074.19995117188,1051.09997558594,1056.19995117188,52133,1056.19995117188
"230",1056.5,1068.40002441406,1052.09997558594,1065.80004882812,4601,1065.80004882812
"231",1064.59997558594,1074.59997558594,1063.40002441406,1063.80004882812,3441,1063.80004882812
"232",1068.69995117188,1069.5,1049.59997558594,1054.19995117188,503,1054.19995117188
"233",1054.40002441406,1064.59997558594,1046.19995117188,1061.69995117188,1161,1061.69995117188
"234",1063,1088.80004882812,1058.69995117188,1084.5,889,1084.5
"235",1084.90002441406,1086.5,1067.40002441406,1076.40002441406,656,1076.40002441406
"236",1071,1078.40002441406,1069.59997558594,1076.30004882812,306,1076.30004882812
"237",1075.09997558594,1086,1070.59997558594,1077.59997558594,386,1077.59997558594
"238",1073,1076.30004882812,1071.69995117188,1073.09997558594,226,1073.09997558594
"239",1067.80004882812,1079.40002441406,1064.40002441406,1076.90002441406,410,1076.90002441406
"240",1074,1076.69995117188,1060,1064.69995117188,509,1064.69995117188
"241",1064.59997558594,1066.19995117188,1061.80004882812,1062.90002441406,220,1062.90002441406
"242",1064.80004882812,1078.69995117188,1064.30004882812,1078,81,1078
"243",1072.59997558594,1072.59997558594,1050.5,1050.80004882812,56,1050.80004882812
"244",1053.69995117188,1070.30004882812,1052.69995117188,1066.19995117188,253,1066.19995117188
"245",1070.19995117188,1081.90002441406,1070.19995117188,1081.90002441406,26,1081.90002441406
"246",1078.59997558594,1078.59997558594,1073.80004882812,1074.80004882812,106,1074.80004882812
"247",1074.5,1074.80004882812,1069.40002441406,1069.40002441406,202,1069.40002441406
"248",1074.30004882812,1077.80004882812,1073.5,1077.19995117188,24,1077.19995117188
"249",1077.90002441406,1098.80004882812,1070.5,1070.5,361,1070.5
"250",1079.09997558594,1079.69995117188,1077.5,1077.5,252,1077.5
"251",1068.59997558594,1070.19995117188,1059.69995117188,1060.09997558594,71,1060.09997558594
"252",1061.90002441406,1062,1058.5,1060.30004882812,10,1060.30004882812
"253",1063.40002441406,1082.5,1063.19995117188,1075.09997558594,143,1075.09997558594
"254",1075.59997558594,1081.5,1075.30004882812,1078.40002441406,82,1078.40002441406
"255",1081.59997558594,1093.69995117188,1081.59997558594,1091.90002441406,52,1091.90002441406
"256",1091.59997558594,1109.40002441406,1091.59997558594,1107.69995117188,122,1107.69995117188
"257",1111.09997558594,1111.09997558594,1093,1097.80004882812,98,1097.80004882812
"258",1105.69995117188,1107.90002441406,1096.5,1096.5,43,1096.5
"259",1093.80004882812,1098.5,1084,1085.59997558594,87,1085.59997558594
"260",1081.5,1093.90002441406,1081.5,1087.5,50,1087.5
"261",1091.5,1091.5,1073.69995117188,1073.90002441406,59,1073.90002441406
"262",1085,1095.80004882812,1081.80004882812,1091.5,44,1091.5
"263",NA,NA,NA,NA,NA,NA
"264",1089.80004882812,1094.40002441406,1084.90002441406,1089.90002441406,17,1089.90002441406
"265",1099.80004882812,1109.80004882812,1099.80004882812,1107.09997558594,30,1107.09997558594
"266",1103.59997558594,1103.59997558594,1094.09997558594,1099.09997558594,16,1099.09997558594
"267",1098,1103.19995117188,1097.19995117188,1097.19995117188,4,1097.19995117188
"268",1099.30004882812,1109.30004882812,1099.30004882812,1106.19995117188,8,1106.19995117188
"269",1115.09997558594,1121.69995117188,1114.30004882812,1121.69995117188,181,1121.69995117188
"270",1117.80004882812,1117.80004882812,1115.80004882812,1116.09997558594,168706,1116.09997558594
"271",1125.40002441406,1125.69995117188,1109.80004882812,1115.59997558594,52861,1115.59997558594
"272",1114.40002441406,1118.59997558594,1108.80004882812,1116.40002441406,6955,1116.40002441406
"273",1116.69995117188,1130,1115.30004882812,1127.90002441406,1682,1127.90002441406
"274",1128.30004882812,1131.40002441406,1123,1127.30004882812,1230,1127.30004882812
"275",1128.5,1146,1125,1141.30004882812,1630,1141.30004882812
"276",1142.5,1157.59997558594,1141,1157.59997558594,771,1157.59997558594
"277",1155.59997558594,1174.80004882812,1146,1157.80004882812,877,1157.80004882812
"278",1173.5,1200.40002441406,1165,1197.90002441406,931,1197.90002441406
"279",1188.69995117188,1199.19995117188,1186.69995117188,1198.69995117188,700,1198.69995117188
"280",1189.80004882812,1197.69995117188,1182.09997558594,1194.69995117188,671,1194.69995117188
"281",1205.59997558594,1260.80004882812,1204.59997558594,1247.90002441406,995,1247.90002441406
"282",1247.80004882812,1247.80004882812,1233.5,1239.09997558594,250,1239.09997558594
"283",NA,NA,NA,NA,NA,NA
"284",1233.09997558594,1233.59997558594,1193.59997558594,1207.90002441406,422,1207.90002441406
"285",1196.5,1212.90002441406,1196.5,1211.09997558594,53,1211.09997558594
"286",1209.59997558594,1239.19995117188,1201.59997558594,1226.09997558594,315,1226.09997558594
"287",1230.80004882812,1232.80004882812,1221.80004882812,1230.40002441406,76,1230.40002441406
"288",1226.09997558594,1226.09997558594,1203,1209.5,280,1209.5
"289",1207.40002441406,1226.09997558594,1207.40002441406,1222.30004882812,351,1222.30004882812
"290",1230,1250.09997558594,1230,1238.69995117188,111,1238.69995117188
"291",1239.40002441406,1241.5,1235,1238.19995117188,1349,1238.19995117188
"292",1232.40002441406,1239.09997558594,1212.19995117188,1219.80004882812,656,1219.80004882812
"293",1218.59997558594,1241,1218.59997558594,1233.90002441406,580,1233.90002441406
"294",1240.5,1248.40002441406,1229,1230.30004882812,477,1230.30004882812
"295",1232.80004882812,1242.59997558594,1226,1241.09997558594,267,1241.09997558594
"296",1238.40002441406,1267.90002441406,1238,1257.40002441406,123,1257.40002441406
"297",1263,1279.90002441406,1250.90002441406,1269.90002441406,268,1269.90002441406
"298",1259.80004882812,1272.30004882812,1259.69995117188,1263.19995117188,67,1263.19995117188
"299",1268.69995117188,1276.30004882812,1261,1262.09997558594,43,1262.09997558594
"300",1254.5,1260,1244.80004882812,1256.59997558594,79,1256.59997558594
"301",1250,1273,1237.5,1272,119,1272
"302",1270,1280.69995117188,1249.40002441406,1258.69995117188,87,1258.69995117188
"303",1256,1258,1234.5,1244.40002441406,58,1244.40002441406
"304",1228.30004882812,1236,1228,1230.40002441406,37,1230.40002441406
"305",1229.5,1263.80004882812,1228.90002441406,1229.30004882812,45,1229.30004882812
