"","LUXU.PA.Open","LUXU.PA.High","LUXU.PA.Low","LUXU.PA.Close","LUXU.PA.Volume","LUXU.PA.Adjusted"
"1431",150.319900512695,150.319900512695,149.897994995117,149.897994995117,0,149.897994995117
"1432",149.489898681641,149.594604492188,149.489898681641,149.594604492188,0,149.594604492188
"1433",150.228897094727,151.027694702148,150.228897094727,151.027694702148,0,151.027694702148
"1434",152.535400390625,155.09309387207,152.535400390625,154.341705322266,37,154.341705322266
"1435",154.222900390625,156.13459777832,154.222900390625,156.13459777832,0,156.13459777832
"1436",157.000106811523,157.832901000977,157.000106811523,157.832901000977,0,157.832901000977
"1437",157.490097045898,157.494903564453,157.205505371094,157.494903564453,150,157.494903564453
"1438",157.965606689453,158.647506713867,157.965606689453,158.647506713867,0,158.647506713867
"1439",158.309799194336,159.077102661133,158.309799194336,158.90119934082,5,158.90119934082
"1440",158.990097045898,159.373901367188,158.990097045898,159.373901367188,0,159.373901367188
"1441",156.91569519043,157.486801147461,156.864700317383,157.486801147461,300,157.486801147461
"1442",158.585006713867,158.585006713867,158.35270690918,158.35270690918,0,158.35270690918
"1443",159.932693481445,160.767807006836,159.932693481445,160.767807006836,0,160.767807006836
"1444",162.60530090332,162.60530090332,161.194000244141,161.194000244141,17,161.194000244141
"1445",161.08869934082,162.641098022461,161.08869934082,162.641098022461,0,162.641098022461
"1446",162.898803710938,163.633804321289,162.898803710938,163.633804321289,32508,163.633804321289
"1447",164.710601806641,164.946899414062,164.358093261719,164.946899414062,10,164.946899414062
"1448",166.129104614258,166.129104614258,164.503997802734,164.951995849609,8,164.951995849609
"1449",167.346099853516,167.346099853516,165.998306274414,165.998306274414,0,165.998306274414
"1450",166.517807006836,166.517807006836,165.640106201172,165.640106201172,0,165.640106201172
"1451",167.274398803711,169.019607543945,165.014007568359,165.014007568359,20,165.014007568359
"1452",162.610305786133,162.610305786133,162.422103881836,162.422103881836,0,162.422103881836
"1453",163.613494873047,164.946792602539,163.613494873047,164.946792602539,0,164.946792602539
"1454",165.028305053711,165.028305053711,162.952896118164,162.952896118164,0,162.952896118164
"1455",161.91780090332,162.564498901367,161.91780090332,162.277694702148,300,162.277694702148
"1456",163.61360168457,165.478393554688,163.61360168457,165.478393554688,0,165.478393554688
"1457",164.742202758789,165.122695922852,164.742202758789,165.122695922852,0,165.122695922852
"1458",166.63330078125,167.485595703125,166.63330078125,167.485595703125,8,167.485595703125
"1459",169.201095581055,169.839996337891,169.201095581055,169.839996337891,0,169.839996337891
"1460",170.117904663086,170.117904663086,170.106994628906,170.106994628906,0,170.106994628906
"1461",166.311401367188,168.183807373047,166.311401367188,168.183807373047,0,168.183807373047
"1462",167.714401245117,167.714401245117,166.028900146484,166.028900146484,0,166.028900146484
"1463",164.932098388672,164.932098388672,158.896896362305,158.979400634766,70,158.979400634766
"1464",159.901992797852,159.901992797852,158.502807617188,158.502807617188,0,158.502807617188
"1465",160.853302001953,160.853302001953,160.246704101562,160.246704101562,0,160.246704101562
"1466",157.41650390625,158.305206298828,157.41650390625,158.305206298828,0,158.305206298828
"1467",158.422698974609,158.422698974609,158.33869934082,158.33869934082,0,158.33869934082
"1468",161.074798583984,162.455795288086,161.074798583984,162.455795288086,0,162.455795288086
"1469",162.442199707031,162.468994140625,162.442199707031,162.468994140625,0,162.468994140625
"1470",161.331497192383,162.596206665039,161.331497192383,162.596206665039,0,162.596206665039
"1471",164.048797607422,164.381301879883,164.048797607422,164.381301879883,3,164.381301879883
"1472",163.294006347656,163.294006347656,163.198196411133,163.198196411133,8,163.198196411133
"1473",165.007095336914,165.556503295898,165.007095336914,165.556503295898,0,165.556503295898
"1474",166.125701904297,166.164505004883,166.125701904297,166.164505004883,0,166.164505004883
"1475",165.641799926758,166.937103271484,165.641799926758,166.937103271484,0,166.937103271484
"1476",168.06379699707,168.06379699707,166.784194946289,166.784194946289,0,166.784194946289
"1477",167.958801269531,168.377593994141,167.958801269531,168.258895874023,17,168.258895874023
"1478",169.044906616211,169.650894165039,169.044906616211,169.650894165039,0,169.650894165039
"1479",169.286697387695,169.286697387695,168.73469543457,168.73469543457,0,168.73469543457
"1480",168.770706176758,168.770706176758,168.347198486328,168.347198486328,0,168.347198486328
"1481",166.128799438477,166.128799438477,165.188400268555,165.188400268555,0,165.188400268555
"1482",168.219100952148,168.8876953125,168.219100952148,168.8876953125,0,168.8876953125
"1483",169.509506225586,169.509506225586,169.509506225586,169.509506225586,0,169.509506225586
"1484",168.589996337891,169.319396972656,168.589996337891,169.319396972656,0,169.319396972656
"1485",170.00700378418,170.00700378418,168.651504516602,168.651504516602,70,168.651504516602
"1486",168.354904174805,169.553100585938,168.354904174805,169.553100585938,83,169.553100585938
"1487",170.205200195312,171.064407348633,170.205200195312,170.232299804688,116,170.232299804688
"1488",168.603805541992,168.603805541992,166.83479309082,166.83479309082,34,166.83479309082
"1489",167.500396728516,167.500396728516,166.963897705078,166.963897705078,0,166.963897705078
"1490",164.171905517578,164.171905517578,159.896301269531,160.669906616211,70,160.669906616211
"1491",161.151092529297,161.151092529297,160.22380065918,160.22380065918,0,160.22380065918
"1492",158.324203491211,160.062301635742,158.324203491211,158.797897338867,20,158.797897338867
"1493",158.439193725586,160.673095703125,158.439193725586,160.673095703125,0,160.673095703125
"1494",162.381393432617,165.368606567383,162.381393432617,165.368606567383,0,165.368606567383
"1495",163.112594604492,168.858901977539,163.112594604492,168.858901977539,4,168.858901977539
"1496",170.69270324707,173.339996337891,170.69270324707,173.339996337891,0,173.339996337891
